rank,bb_length,mult,total_sigma,total_trades,tp_exits,opposite_exits,tp_rate,wins,losses,win_rate,total_pnl_usd,avg_pnl_per_trade,profit_factor,symbols_traded,max_concurrent_positions,avg_positions_per_signal
1,5,4.5,6.75,2290,2018,272,88.12,2022,268,88.3,17.51,0.0076,7.5448,330,15,6.9
2,5,5.0,7.5,1436,1292,144,89.97,1292,144,89.97,10.93,0.0076,8.9722,285,13,5.0
3,5,4.0,6.0,3836,3318,518,86.5,3324,512,86.65,9.5,0.0025,6.4922,369,14,10.4
4,10,4.5,6.75,484,465,19,96.07,465,19,96.07,7.75,0.016,24.4737,189,8,2.6
5,5,5.5,8.25,943,850,93,90.14,850,93,90.14,7.7,0.0082,9.1398,237,14,4.0
6,15,5.0,7.5,186,183,3,98.39,183,3,98.39,7.56,0.0406,61.0,103,2,1.8
7,20,5.0,7.5,176,173,3,98.3,173,3,98.3,7.14,0.0405,57.6667,112,1,1.6
8,10,4.0,6.0,1133,1071,62,94.53,1071,62,94.53,6.86,0.0061,17.2742,264,9,4.3
9,10,5.0,7.5,230,223,7,96.96,223,7,96.96,5.67,0.0246,31.8571,124,6,1.9
10,15,4.5,6.75,411,399,12,97.08,399,12,97.08,5.23,0.0127,33.25,176,2,2.3
11,10,5.5,8.25,118,117,1,99.15,117,1,99.15,4.95,0.042,117.0,72,6,1.6
12,25,5.0,7.5,173,170,3,98.27,170,3,98.27,4.77,0.0276,56.6667,106,2,1.6
13,5,6.0,9.0,682,611,71,89.59,611,71,89.59,4.58,0.0067,8.6056,194,8,3.5
14,15,5.5,8.25,97,97,0,100.0,97,0,100.0,4.51,0.0465,inf,68,2,1.4
15,20,5.5,8.25,95,95,0,100.0,95,0,100.0,4.5,0.0473,inf,73,1,1.3
16,30,5.5,8.25,98,98,0,100.0,98,0,100.0,4.46,0.0455,inf,70,1,1.4
17,25,5.5,8.25,92,92,0,100.0,92,0,100.0,4.07,0.0443,inf,70,1,1.3
18,35,5.5,8.25,86,86,0,100.0,86,0,100.0,3.78,0.044,inf,63,2,1.4
19,20,6.0,9.0,56,56,0,100.0,56,0,100.0,2.59,0.0462,inf,49,1,1.1
20,15,6.0,9.0,53,53,0,100.0,53,0,100.0,2.55,0.0481,inf,45,1,1.2
21,25,6.0,9.0,55,55,0,100.0,55,0,100.0,2.42,0.044,inf,49,1,1.1
22,10,6.0,9.0,57,57,0,100.0,57,0,100.0,2.2,0.0385,inf,43,5,1.3
23,35,6.0,9.0,53,53,0,100.0,53,0,100.0,2.14,0.0404,inf,44,1,1.2
24,30,6.0,9.0,50,50,0,100.0,50,0,100.0,1.98,0.0396,inf,42,1,1.2
25,40,6.0,9.0,50,50,0,100.0,50,0,100.0,1.81,0.0362,inf,42,1,1.2
26,20,4.5,6.75,338,328,10,97.04,328,10,97.04,1.8,0.0053,32.8,154,2,2.2
27,45,6.0,9.0,49,49,0,100.0,49,0,100.0,1.72,0.0352,inf,42,1,1.2
28,50,6.0,9.0,44,44,0,100.0,44,0,100.0,1.53,0.0348,inf,38,1,1.2
29,40,5.5,8.25,83,82,1,98.8,82,1,98.8,-0.11,-0.0013,82.0,64,2,1.3
30,30,5.0,7.5,161,156,5,96.89,156,5,96.89,-1.01,-0.0063,31.2,100,2,1.6
31,25,4.5,6.75,301,289,12,96.01,289,12,96.01,-2.97,-0.0099,24.0833,150,2,2.0
32,45,5.5,8.25,74,71,3,95.95,71,3,95.95,-3.75,-0.0507,23.6667,58,2,1.3
33,30,4.5,6.75,291,280,11,96.22,280,11,96.22,-3.96,-0.0136,25.4545,147,2,2.0
34,40,5.0,7.5,140,134,6,95.71,134,6,95.71,-4.29,-0.0307,22.3333,96,2,1.5
35,50,5.5,8.25,70,67,3,95.71,67,3,95.71,-5.78,-0.0826,22.3333,54,2,1.3
36,35,5.0,7.5,144,138,6,95.83,138,6,95.83,-6.51,-0.0452,23.0,91,2,1.6
37,35,4.5,6.75,271,258,13,95.2,258,13,95.2,-6.56,-0.0242,19.8462,142,2,1.9
38,45,5.0,7.5,125,118,7,94.4,118,7,94.4,-6.86,-0.0549,16.8571,77,2,1.6
39,20,4.0,6.0,647,617,30,95.36,617,30,95.36,-7.14,-0.011,20.5667,213,3,3.0
40,15,4.0,6.0,826,786,40,95.16,786,40,95.16,-7.64,-0.0093,19.65,235,3,3.5
41,40,4.5,6.75,239,225,14,94.14,225,14,94.14,-8.21,-0.0344,16.0714,125,3,1.9
42,45,4.5,6.75,224,211,13,94.2,211,13,94.2,-8.65,-0.0386,16.2308,116,3,1.9
43,50,5.0,7.5,111,102,9,91.89,102,9,91.89,-10.07,-0.0907,11.3333,70,2,1.6
44,50,4.5,6.75,202,188,14,93.07,188,14,93.07,-11.82,-0.0585,13.4286,110,3,1.8
45,35,4.0,6.0,495,466,29,94.14,466,29,94.14,-12.04,-0.0243,16.069,192,3,2.6
46,40,4.0,6.0,457,429,28,93.87,429,28,93.87,-13.28,-0.0291,15.3214,179,4,2.6
47,25,4.0,6.0,556,522,34,93.88,522,34,93.88,-14.76,-0.0265,15.3529,199,3,2.8
48,45,4.0,6.0,442,414,28,93.67,414,28,93.67,-14.93,-0.0338,14.7857,169,4,2.6
49,50,4.0,6.0,417,388,29,93.05,388,29,93.05,-15.85,-0.038,13.3793,156,4,2.7
50,30,4.0,6.0,518,482,36,93.05,482,36,93.05,-20.55,-0.0397,13.3889,195,3,2.7
51,35,3.5,5.25,1024,946,78,92.38,946,78,92.38,-45.14,-0.0441,12.1282,265,4,3.9
